wave,method,function,samples,dimension,top_m,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auprc_mean,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,runtime_sec_mean,runtime_sec_std,num_runs
broad,edge_pair_hybrid,core_interaction_c025,512,100,4,0.014628873206675053,,0.015957873314619064,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-1.8506124019622803,,0.0,0.34898972511291504,,1
broad,edge_pair_hybrid,core_interaction_c025,1024,100,4,0.015666378661990166,,0.017534997314214706,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-0.6211549043655396,,0.0,0.341414213180542,,1
broad,edge_pair_hybrid,core_interaction_c025,1024,100,6,0.017379583790898323,,0.02347765862941742,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.298561692237854,,0.0,0.5247542858123779,,1
broad,edge_pair_hybrid,core_interaction_c05,512,100,4,0.04693111777305603,,0.04847589135169983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-0.9342655539512634,,0.0,0.3415038585662842,,1
broad,edge_pair_hybrid,core_interaction_c05,512,100,6,0.04833127185702324,,0.05770516023039818,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.6708130240440369,,0.0,0.5200309753417969,,1
broad,edge_pair_hybrid,core_interaction_c1,512,100,4,0.14571906626224518,,0.16727733612060547,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7447916666666666,0.52,0.0,,199.0,199.0,,-1.9791722297668457,,0.0,0.3507683277130127,,1
exploit,edge_pair_hybrid,core_interaction_c025,1024,100,5,0.01384584978222847,,0.017042413353919983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5629456043243408,,0.0,0.4463009834289551,,1
exploit,edge_pair_hybrid,core_interaction_c025,1024,100,6,0.017386145889759064,,0.023487038910388947,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.2971832752227783,,0.0,0.48876237869262695,,1
exploit,edge_pair_hybrid,core_interaction_c025,2048,100,6,0.015096338465809822,,0.01874726451933384,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.45340508222579956,,0.0,0.5012903213500977,,1
exploit,edge_pair_hybrid,core_interaction_c05,512,100,5,0.04270438104867935,,0.05843208730220795,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.3965741395950317,,0.0,0.43444252014160156,,1
exploit,edge_pair_hybrid,core_interaction_c05,1024,100,5,0.0436750128865242,,0.05467326566576958,,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.75,,0.8723958333333333,0.76,0.0,,201.0,201.0,,-1.1513382196426392,,0.0,0.4064779281616211,,1
exploit,edge_pair_hybrid,core_interaction_c1,512,100,5,0.13036289811134338,,0.20046642422676086,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-2.743974208831787,,0.0,0.4179549217224121,,1
exploit,edge_stability_var,core_interaction_c025,1024,100,5,0.013843385502696037,,0.017049938440322876,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5747175216674805,,0.0,0.4043550491333008,,1
exploit,edge_stability_var,core_interaction_c025,1024,100,6,0.017379583790898323,,0.02347765862941742,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.298561692237854,,0.0,0.4997067451477051,,1
exploit,edge_stability_var,core_interaction_c025,2048,100,6,0.015096358023583889,,0.018747327849268913,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.4548206925392151,,0.0,0.5000760555267334,,1
exploit,edge_stability_var,core_interaction_c05,512,100,5,0.04270201176404953,,0.05844388157129288,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.396499514579773,,0.0,0.4045684337615967,,1
exploit,edge_stability_var,core_interaction_c05,1024,100,5,0.003703721333295107,,0.005399585701525211,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,2.0,2.0,,-1.0496005415916443,,0.0,0.4083235263824463,,1
exploit,edge_stability_var,core_interaction_c1,512,100,5,0.13036289811134338,,0.20046642422676086,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-2.743974208831787,,0.0,0.4077017307281494,,1
exploit,feature_edge_hybrid,core_interaction_c025,1024,100,5,0.01384584978222847,,0.017042413353919983,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.5629456043243408,,0.0,0.40155506134033203,,1
exploit,feature_edge_hybrid,core_interaction_c025,1024,100,6,0.017398972064256668,,0.023504504933953285,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-1.2950599193572998,,0.0,0.49617838859558105,,1
exploit,feature_edge_hybrid,core_interaction_c025,2048,100,6,0.015096338465809822,,0.01874726451933384,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7395833333333334,0.52,0.0,,204.0,204.0,,-0.45340508222579956,,0.0,0.5008189678192139,,1
exploit,feature_edge_hybrid,core_interaction_c05,512,100,5,0.04270099848508835,,0.05844760686159134,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-1.3969838619232178,,0.0,0.4310336112976074,,1
exploit,feature_edge_hybrid,core_interaction_c05,1024,100,5,0.04368047043681145,,0.05467068403959274,,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.75,,0.8723958333333333,0.76,0.0,,201.0,201.0,,-1.1543184518814087,,0.0,0.3947312831878662,,1
exploit,feature_edge_hybrid,core_interaction_c1,512,100,5,0.13036289811134338,,0.20046642422676086,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7421875,0.52,0.0,,201.0,201.0,,-2.743974208831787,,0.0,0.41124653816223145,,1
stress,edge_pair_hybrid,core_interaction_c025,2048,500,6,0.014373790472745895,,0.018222106620669365,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.44951215386390686,,0.0,0.571361780166626,,1
stress,edge_pair_hybrid,core_interaction_c05,1024,500,6,0.0454641655087471,,0.05089608579874039,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.5346629619598389,,0.0,0.5703456401824951,,1
stress,edge_pair_hybrid,core_interaction_c1,1024,500,6,0.14769244194030762,,0.1589084267616272,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.366235613822937,,0.0,0.5280613899230957,,1
stress,edge_pair_hybrid,feynman_coulomb,1024,100,5,0.1537533402442932,,0.2216675877571106,,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,,0.8281786941580755,0.6766666666666666,0.3333333333333333,,1.0,39.333333333333336,,0.5503495335578918,,0.0,0.4122276306152344,,1
stress,edge_pair_hybrid,feynman_energy,1024,100,4,0.0006666523404419422,,0.0007299804128706455,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.1912250965833664,,1.0,0.3474867343902588,,1
stress,edge_pair_hybrid,feynman_gravity,1024,100,5,0.0018013694789260626,,0.0022679802495986223,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0683100757499535,,1.0,0.43125414848327637,,1
stress,edge_stability_var,core_interaction_c025,2048,500,6,0.014370840042829514,,0.0182202085852623,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.4490092396736145,,0.0,0.5458333492279053,,1
stress,edge_stability_var,core_interaction_c05,1024,500,6,0.04546395316720009,,0.05089607834815979,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.5339738130569458,,0.0,0.5476243495941162,,1
stress,edge_stability_var,core_interaction_c1,1024,500,6,0.14769244194030762,,0.1589084267616272,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,0.7479838709677419,0.504,0.0,,1004.0,1004.0,,-0.366235613822937,,0.0,0.5278029441833496,,1
stress,edge_stability_var,feynman_coulomb,1024,100,5,0.15681442618370056,,0.20690055191516876,,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,,0.8281786941580755,0.6766666666666666,0.3333333333333333,,1.0,39.333333333333336,,0.32583868503570557,,0.0,0.411348819732666,,1
stress,edge_stability_var,feynman_energy,1024,100,4,0.0005338888731785119,,0.0005564106395468116,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.1820050179958344,,1.0,0.3430209159851074,,1
stress,edge_stability_var,feynman_gravity,1024,100,5,0.0017983403522521257,,0.0022648756857961416,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0672738999128342,,1.0,0.42043566703796387,,1
